2025-05-21 18:52:52,105 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 18:52:57,169 - INFO - Data saved to market_data.csv
2025-05-21 19:12:50,162 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:12:54,800 - INFO - Data saved to market_data.csv
2025-05-21 19:30:48,224 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:30:52,588 - INFO - Data saved to market_data.csv
2025-05-21 19:31:11,111 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:31:14,614 - INFO - Data saved to market_data.csv
2025-05-21 19:32:43,058 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:32:46,267 - INFO - Data saved to market_data.csv
2025-05-21 19:33:49,777 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:33:55,299 - INFO - Data saved to market_data.csv
2025-05-21 19:35:40,222 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:35:44,837 - INFO - Data saved to market_data.csv
2025-05-22 21:10:01,435 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 21:10:05,899 - INFO - Data saved to market_data.csv
2025-05-22 22:16:15,439 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 22:16:18,901 - INFO - Data saved to market_data.csv
2025-05-22 23:27:36,135 - INFO - Starting LHL Pattern Trading Bot...
2025-05-22 23:27:36,137 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-22 23:27:39,519 - INFO - Bot initialized successfully, entering main loop...
2025-05-22 23:27:39,851 - INFO - Current Price: 16.876, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:28:10,224 - INFO - Current Price: 16.876, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:28:40,534 - INFO - Current Price: 16.886, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:29:10,845 - INFO - Current Price: 16.905, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:29:41,464 - INFO - Current Price: 16.897, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:30:12,185 - INFO - Current Price: 16.895, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:30:42,561 - INFO - Current Price: 16.888, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:31:12,829 - INFO - Current Price: 16.875, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:31:43,147 - INFO - Current Price: 16.868, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:32:13,536 - INFO - Current Price: 16.827, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:32:44,459 - INFO - Current Price: 16.81, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:33:14,775 - INFO - Current Price: 16.8, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:33:45,053 - INFO - Current Price: 16.777, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:34:15,802 - INFO - Current Price: 16.794, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:34:46,116 - INFO - Current Price: 16.828, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:35:16,425 - INFO - Current Price: 16.843, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:35:46,839 - INFO - Current Price: 16.801, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:36:17,150 - INFO - Current Price: 16.82, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:36:26,441 - INFO - Bot shutdown requested by user...
2025-05-22 23:36:26,441 - INFO - Bot shutting down...
2025-05-22 23:36:36,828 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 23:36:40,462 - INFO - Data saved to market_data.csv
2025-05-22 23:36:53,524 - INFO - Starting LHL Pattern Trading Bot...
2025-05-22 23:36:53,526 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-22 23:36:57,043 - INFO - Bot initialized successfully, entering main loop...
2025-05-22 23:36:57,336 - INFO - Current Price: 16.807, Position: No, S1: 16.634, R1: 16.798
2025-05-22 23:37:27,706 - INFO - Current Price: 16.815, Position: No, S1: 16.634, R1: 16.798
